Year,fiscalyear
1913,NA
1914,9.975
1915,10.08333333
1916,10.5
1917,12.11666667
1918,14.16666667
1919,16.6
1920,19.55833333
1921,18.63333333
1922,16.975
1923,16.875
1924,17.15
1925,17.33333333
1926,17.76666667
1927,17.45833333
1928,17.2
1929,17.13333333
1930,16.99166667
1931,15.74166667
1932,14.15833333
1933,12.95
1934,13.28333333
1935,13.64166667
1936,13.78333333
1937,14.20833333
1938,14.25833333
1939,13.90833333
1940,14.00833333
1941,14.29166667
1942,15.86666667
1943,17.08333333
1944,17.48333333
1945,17.85833333
1946,18.55833333
1947,21.61666667
1948,23.65
1949,23.99166667
1950,23.75833333
1951,25.41666667
1952,26.41666667
1953,26.69166667
1954,26.9
1955,26.74166667
1956,26.975
1957,27.80833333
1958,28.66666667
1959,29
1960,29.45
1961,29.80833333
1962,30.11666667
1963,30.49166667
1964,30.9
1965,31.325
1966,32.075
1967,33.05833333
1968,34.25833333
1969,35.99166667
1970,38.125
1971,40.01666667
1972,41.35
1973,43.26666667
1974,47.45833333
1975,52.55
1976,55.95833333
1977,59.33333333
1978,63.425
1979,69.76666667
1980,79.225
1981,88.11666667
1982,95.05
1983,98.55833333
1984,102.4916667
1985,106.3666667
1986,109.1
1987,111.9833333
1988,116.6166667
1989,122.15
1990,128.0583333
1991,134.8166667
1992,138.925
1993,143.175
1994,146.9
1995,151.075
1996,155.2416667
1997,159.4916667
1998,162.1833333
1999,165.1416667
2000,170.275
2001,175.875
2002,178.675
2003,182.75
2004,186.9583333
2005,192.7666667
2006,200.2916667
2007,204.8725
2008,213.605
2009,214.0023333
2010,217.16325
2011,222.4325
2012,228.1494167
2013,232.0181667
2014,235.685
2015,236.7489167
2016,238.933
2017,243.858
2018,249.83
2019,255.523
2020,261.776
2021,268.387
2022,275.046
2023,281.784
2024,288.557
2025,295.377
2026,302.331
2027,309.443
2028,316.732
